source_table, hadron, target, ref_target, Q2_min, Q2_max, nu_min, nu_max, z_min, z_max, pT2_min, pT2_max, value, stat , syst , flag
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.5,   0.6,    0.25,    0.4 , 0.587, 0.019, 0.034, source_block_header_repeats_nu_2.2-3.2_reassigned_to_3.73-4.2_by_ordering
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.5,   0.6,    0.25,    0.4 , 0.419, 0.021, 0.035, source_block_header_repeats_nu_2.2-3.2_reassigned_to_3.73-4.2_by_ordering
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.5,   0.6,    0.4 ,    0.55, 0.817, 0.035, 0.047, source_block_header_repeats_nu_2.2-3.2_reassigned_to_3.73-4.2_by_ordering
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.5,   0.6,    0.4 ,    0.55, 0.629, 0.023, 0.035, source_block_header_repeats_nu_2.2-3.2_reassigned_to_3.73-4.2_by_ordering
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.5,   0.6,    0.4 ,    0.55, 0.478, 0.027, 0.029, source_block_header_repeats_nu_2.2-3.2_reassigned_to_3.73-4.2_by_ordering
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.5,   0.6,    0.55,    0.75, 1.044, 0.051, 0.057, source_block_header_repeats_nu_2.2-3.2_reassigned_to_3.73-4.2_by_ordering
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.5,   0.6,    0.55,    0.75, 0.692, 0.027, 0.037, source_block_header_repeats_nu_2.2-3.2_reassigned_to_3.73-4.2_by_ordering
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.5,   0.6,    0.55,    0.75, 0.557, 0.035, 0.035, source_block_header_repeats_nu_2.2-3.2_reassigned_to_3.73-4.2_by_ordering
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.5,   0.6,    0.75,    1.5 , 1.167, 0.067, 0.064, source_block_header_repeats_nu_2.2-3.2_reassigned_to_3.73-4.2_by_ordering
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.5,   0.6,    0.75,    1.5 , 0.984, 0.041, 0.059, source_block_header_repeats_nu_2.2-3.2_reassigned_to_3.73-4.2_by_ordering
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   3.73,   4.25,   0.5,   0.6,    0.75,    1.5 , 0.672, 0.048, 0.046, source_block_header_repeats_nu_2.2-3.2_reassigned_to_3.73-4.2_by_ordering
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.6,   0.7,    0.0 ,    0.1 , 0.918, 0.035, 0.062, 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.6,   0.7,    0.0 ,    0.1 , 0.666, 0.021, 0.046, 
I           , pi0   , Pb    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.6,   0.7,    0.0 ,    0.1 , 0.454, 0.023, 0.046, 
I           , pi0   , C     , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.6,   0.7,    0.1 ,    0.25, 0.884, 0.029, 0.06 , 
I           , pi0   , Fe    , D         ,   1.0 ,   4.1 ,   2.2 ,   3.2 ,   0.6,   0.7,    0.1 ,    0.25, 0.633, 0.018, 0.045, 
