source_table,hadron,target,ref_target,Q2_min,Q2_max,nu_min,nu_max,z_min,z_max,pT2_min,pT2_max,value,stat,syst,flag
IV,pi+,Fe,D,1.3,1.8,3.2,3.7,0.8,0.9,0.0,1.5,0.49,0.01,0.027,
IV,pi+,Pb,D,1.3,1.8,3.2,3.7,0.8,0.9,0.0,1.5,0.326,0.005,0.018,
IV,pi+,C,D,1.3,1.8,3.2,3.7,0.9,1.0,0.0,1.5,0.738,0.017,0.031,
IV,pi+,Fe,D,1.3,1.8,3.2,3.7,0.9,1.0,0.0,1.5,0.486,0.01,0.026,
IV,pi+,Pb,D,1.3,1.8,3.2,3.7,0.9,1.0,0.0,1.5,0.323,0.005,0.018,
IV,pi+,C,D,1.8,4.1,3.2,3.7,0.05,0.1,0.0,1.5,1.237,0.007,0.029,
IV,pi+,Fe,D,1.8,4.1,3.2,3.7,0.05,0.1,0.0,1.5,1.286,0.007,0.047,
IV,pi+,Pb,D,1.8,4.1,3.2,3.7,0.05,0.1,0.0,1.5,1.078,0.003,0.042,
IV,pi+,C,D,1.8,4.1,3.2,3.7,0.1,0.2,0.0,1.5,1.058,0.004,0.025,
IV,pi+,Fe,D,1.8,4.1,3.2,3.7,0.1,0.2,0.0,1.5,0.976,0.003,0.036,
IV,pi+,Pb,D,1.8,4.1,3.2,3.7,0.1,0.2,0.0,1.5,0.789,0.001,0.03,
IV,pi+,C,D,1.8,4.1,3.2,3.7,0.2,0.3,0.0,1.5,0.936,0.004,0.022,
IV,pi+,Fe,D,1.8,4.1,3.2,3.7,0.2,0.3,0.0,1.5,0.792,0.003,0.029,
IV,pi+,Pb,D,1.8,4.1,3.2,3.7,0.2,0.3,0.0,1.5,0.61,0.001,0.024,
IV,pi+,C,D,1.8,4.1,3.2,3.7,0.3,0.4,0.0,1.5,0.882,0.005,0.021,
IV,pi+,Fe,D,1.8,4.1,3.2,3.7,0.3,0.4,0.0,1.5,0.707,0.004,0.026,
IV,pi+,Pb,D,1.8,4.1,3.2,3.7,0.3,0.4,0.0,1.5,0.529,0.002,0.02,
IV,pi+,C,D,1.8,4.1,3.2,3.7,0.4,0.5,0.0,1.5,0.874,0.006,0.02,
IV,pi+,Fe,D,1.8,4.1,3.2,3.7,0.4,0.5,0.0,1.5,0.651,0.004,0.024,
IV,pi+,Pb,D,1.8,4.1,3.2,3.7,0.4,0.5,0.0,1.5,0.48,0.002,0.019,
IV,pi+,C,D,1.8,4.1,3.2,3.7,0.5,0.6,0.0,1.5,0.857,0.008,0.02,
IV,pi+,Fe,D,1.8,4.1,3.2,3.7,0.5,0.6,0.0,1.5,0.665,0.006,0.024,
IV,pi+,Pb,D,1.8,4.1,3.2,3.7,0.5,0.6,0.0,1.5,0.474,0.003,0.018,
IV,pi+,C,D,1.8,4.1,3.2,3.7,0.6,0.7,0.0,1.5,0.844,0.009,0.036,
IV,pi+,Fe,D,1.8,4.1,3.2,3.7,0.6,0.7,0.0,1.5,0.64,0.006,0.033,
IV,pi+,Pb,D,1.8,4.1,3.2,3.7,0.6,0.7,0.0,1.5,0.479,0.003,0.025,
IV,pi+,C,D,1.8,4.1,3.2,3.7,0.7,0.8,0.0,1.5,0.782,0.01,0.033,
IV,pi+,Fe,D,1.8,4.1,3.2,3.7,0.7,0.8,0.0,1.5,0.582,0.007,0.03,
IV,pi+,Pb,D,1.8,4.1,3.2,3.7,0.7,0.8,0.0,1.5,0.412,0.003,0.021,
IV,pi+,C,D,1.8,4.1,3.2,3.7,0.8,0.9,0.0,1.5,0.751,0.013,0.032,
IV,pi+,Fe,D,1.8,4.1,3.2,3.7,0.8,0.9,0.0,1.5,0.52,0.008,0.026,
IV,pi+,Pb,D,1.8,4.1,3.2,3.7,0.8,0.9,0.0,1.5,0.367,0.004,0.019,
IV,pi+,C,D,1.8,4.1,3.2,3.7,0.9,1.0,0.0,1.5,0.747,0.014,0.031,
IV,pi+,Fe,D,1.8,4.1,3.2,3.7,0.9,1.0,0.0,1.5,0.519,0.008,0.026,
IV,pi+,Pb,D,1.8,4.1,3.2,3.7,0.9,1.0,0.0,1.5,0.362,0.004,0.019,
V,pi+,C,D,1.0,1.3,3.7,4.2,0.05,0.1,0.0,1.5,1.06,0.006,0.034,
V,pi+,Fe,D,1.0,1.3,3.7,4.2,0.05,0.1,0.0,1.5,1.083,0.006,0.054,
V,pi+,Pb,D,1.0,1.3,3.7,4.2,0.05,0.1,0.0,1.5,0.893,0.003,0.04,
V,pi+,C,D,1.0,1.3,3.7,4.2,0.1,0.2,0.0,1.5,0.936,0.004,0.03,
V,pi+,Fe,D,1.0,1.3,3.7,4.2,0.1,0.2,0.0,1.5,0.885,0.004,0.044,
V,pi+,Pb,D,1.0,1.3,3.7,4.2,0.1,0.2,0.0,1.5,0.705,0.002,0.032,
V,pi+,C,D,1.0,1.3,3.7,4.2,0.2,0.3,0.0,1.5,0.876,0.005,0.028,
V,pi+,Fe,D,1.0,1.3,3.7,4.2,0.2,0.3,0.0,1.5,0.745,0.004,0.037,
